Wed,T-AdvElDes,Provence5,11:15,13:40,Lausanne
Wed,C-Ethics-B,Provence4,15:00,17:25,Lausanne
Wed,HiRel,Provence3,17:30,19:55,Lausanne
Thu,PA-J,NA,8:45,13:40,NA
Fri,SEEE,A09,11:10,13:35,Yverdon
Fri,SEBC,A05a,14:30,16:55,Yverdon
